Id	PROJECT	ASSAY	SPECTRA_IN_REL_CLUSTERS	CORRECT_SPECTRA	INCORRECT_SPECTRA	CONTAMINANT_CORRECT_SPECTRA	CONTAMINANT_INCORRECT_SPECTRA	diff	diffCont	order	class
25	PRD000644	21593	44	44	0	6	0	1	1	1	1
29	PRD000644	21597	4	4	0	0	0	1	1	2	1
31	PRD000644	21599	7	7	0	1	0	1	1	3	1
34	PRD000644	21602	9	9	0	1	0	1	1	4	1
35	PRD000644	21603	22	22	0	0	0	1	1	5	1
37	PRD000644	21605	8	8	0	0	0	1	1	6	1
38	PRD000644	21606	3	3	0	1	0	1	1	7	1
41	PRD000644	21609	16	16	0	13	0	1	1	8	1
42	PRD000644	21610	15	15	0	0	0	1	1	9	1
44	PRD000644	21612	9	9	0	0	0	1	1	10	1
45	PRD000644	21613	5	5	0	3	0	1	1	11	1
46	PRD000644	21614	7	7	0	5	0	1	1	12	1
48	PRD000644	21616	14	14	0	4	0	1	1	13	1
49	PRD000644	21617	15	15	0	0	0	1	1	14	1
55	PRD000644	21623	10	10	0	9	0	1	1	15	1
56	PRD000644	21624	13	13	0	4	0	1	1	16	1
57	PRD000644	21625	3	3	0	2	0	1	1	17	1
59	PRD000644	21627	2	2	0	0	0	1	1	18	1
60	PRD000644	21630	5	5	0	4	0	1	1	19	1
62	PRD000644	21632	20	20	0	17	0	1	1	20	1
63	PRD000644	21634	8	8	0	6	0	1	1	21	1
64	PRD000644	21635	25	25	0	8	0	1	1	22	1
65	PRD000644	21636	3	3	0	3	0	1	1	23	1
67	PRD000644	21638	4	4	0	0	0	1	1	24	1
70	PRD000644	21641	7	7	0	5	0	1	1	25	1
71	PRD000644	21642	1	1	0	0	0	1	1	26	1
73	PRD000644	21644	2	2	0	1	0	1	1	27	1
78	PRD000644	21649	32	32	0	32	0	1	1	28	1
79	PRD000644	21650	7	7	0	6	0	1	1	29	1
80	PRD000644	21651	2	2	0	0	0	1	1	30	1
81	PRD000644	21652	4	4	0	4	0	1	1	31	1
82	PRD000644	21653	33	33	0	5	0	1	1	32	1
86	PRD000644	21657	3	3	0	2	0	1	1	33	1
87	PRD000644	21658	8	8	0	5	0	1	1	34	1
88	PRD000644	21659	7	7	0	7	0	1	1	35	1
91	PRD000644	21663	7	7	0	2	0	1	1	36	1
92	PRD000644	21664	21	21	0	9	0	1	1	37	1
93	PRD000644	21665	1	1	0	0	0	1	1	38	1
94	PRD000644	21666	4	4	0	3	0	1	1	39	1
95	PRD000644	21669	3	3	0	0	0	1	1	40	1
98	PRD000644	21673	2	2	0	1	0	1	1	41	1
99	PRD000644	21674	7	7	0	7	0	1	1	42	1
102	PRD000644	21678	5	5	0	3	0	1	1	43	1
105	PRD000644	21681	2	2	0	1	0	1	1	44	1
106	PRD000644	21682	8	8	0	4	0	1	1	45	1
107	PRD000644	21683	1	1	0	0	0	1	1	46	1
109	PRD000644	21685	14	14	0	10	0	1	1	47	1
111	PRD000644	21687	4	4	0	4	0	1	1	48	1
112	PRD000644	21688	4	4	0	3	0	1	1	49	1
114	PRD000644	21690	22	22	0	8	0	1	1	50	1
115	PRD000644	21691	12	12	0	12	0	1	1	51	1
116	PRD000644	21692	1	1	0	1	0	1	1	52	1
117	PRD000644	21693	3	3	0	3	0	1	1	53	1
119	PRD000644	21695	10	10	0	0	0	1	1	54	1
121	PRD000644	21697	6	6	0	3	0	1	1	55	1
122	PRD000644	21699	5	5	0	2	0	1	1	56	1
124	PRD000644	21701	4	4	0	0	0	1	1	57	1
126	PRD000644	21703	11	11	0	8	0	1	1	58	1
127	PRD000644	21704	4	4	0	1	0	1	1	59	1
129	PRD000644	21706	1	1	0	0	0	1	1	60	1
131	PRD000644	21708	17	17	0	7	0	1	1	61	1
132	PRD000644	21709	5	5	0	3	0	1	1	62	1
134	PRD000644	21711	4	4	0	1	0	1	1	63	1
136	PRD000644	21713	4	4	0	0	0	1	1	64	1
137	PRD000644	21714	1	1	0	0	0	1	1	65	1
140	PRD000644	21719	3	3	0	2	0	1	1	66	1
141	PRD000644	21720	14	14	0	9	0	1	1	67	1
142	PRD000644	21721	1	1	0	0	0	1	1	68	1
144	PRD000644	21725	5	5	0	0	0	1	1	69	1
146	PRD000644	21727	13	13	0	8	0	1	1	70	1
147	PRD000644	21728	4	4	0	0	0	1	1	71	1
149	PRD000644	21730	19	19	0	13	0	1	1	72	1
152	PRD000644	21733	20	20	0	17	0	1	1	73	1
153	PRD000644	21734	3	3	0	2	0	1	1	74	1
154	PRD000644	21735	3	3	0	1	0	1	1	75	1
155	PRD000644	21736	6	6	0	1	0	1	1	76	1
157	PRD000644	21738	2	2	0	1	0	1	1	77	1
160	PRD000644	21741	5	5	0	5	0	1	1	78	1
161	PRD000644	21742	6	6	0	6	0	1	1	79	1
162	PRD000644	21743	10	10	0	8	0	1	1	80	1
164	PRD000644	21745	4	4	0	0	0	1	1	81	1
166	PRD000192	11344	1016	1016	0	0	0	1	1	82	1
168	PRD000192	11346	616	616	0	0	0	1	1	83	1
170	PRD000192	11355	1199	1199	0	0	0	1	1	84	1
171	PRD000192	11356	1236	1236	0	0	0	1	1	85	1
172	PRD000192	11358	892	892	0	0	0	1	1	86	1
364	PXD000781	37129	29	29	0	4	0	1	1	87	1
365	PXD000509	31445	100	100	0	0	0	1	1	88	1
377	PRD000308	13754	1468	1468	0	0	0	1	1	89	1
378	PRD000308	13755	2399	2399	0	0	0	1	1	90	1
379	PRD000308	13756	2690	2690	0	0	0	1	1	91	1
380	PRD000308	13757	2561	2561	0	0	0	1	1	92	1
381	PRD000308	13758	1268	1268	0	0	0	1	1	93	1
383	PRD000308	13760	2741	2741	0	0	0	1	1	94	1
384	PRD000308	13761	3022	3022	0	0	0	1	1	95	1
385	PXD000500	31368	3	3	0	1	0	1	1	96	1
386	PXD000500	31369	3	3	0	1	0	1	1	97	1
387	PXD000500	31370	3	3	0	1	0	1	1	98	1
388	PXD000500	31371	1	1	0	1	0	1	1	99	1
389	PXD000500	31372	1	1	0	1	0	1	1	100	1
390	PXD000500	31373	1	1	0	1	0	1	1	101	1
391	PXD000500	31377	5	5	0	0	0	1	1	102	1
392	PXD000500	31378	1	1	0	1	0	1	1	103	1
394	PXD000500	31380	1	1	0	0	0	1	1	104	1
395	PXD000500	31381	1	1	0	1	0	1	1	105	1
396	PXD000500	31382	2	2	0	0	0	1	1	106	1
397	PXD000500	31383	1	1	0	1	0	1	1	107	1
398	PXD000500	31385	1	1	0	0	0	1	1	108	1
399	PXD000500	31387	3	3	0	0	0	1	1	109	1
400	PXD000500	31389	2	2	0	1	0	1	1	110	1
401	PXD000500	31390	9	9	0	1	0	1	1	111	1
402	PXD000500	31391	7	7	0	1	0	1	1	112	1
403	PXD000500	31392	1	1	0	1	0	1	1	113	1
404	PXD000500	31393	4	4	0	1	0	1	1	114	1
405	PXD000500	31394	5	5	0	1	0	1	1	115	1
406	PXD000500	31395	3	3	0	1	0	1	1	116	1
407	PXD000500	31396	3	3	0	1	0	1	1	117	1
409	PXD000500	31398	1	1	0	1	0	1	1	118	1
410	PXD000500	31400	5	5	0	1	0	1	1	119	1
411	PXD000500	31401	3	3	0	0	0	1	1	120	1
412	PXD000500	31402	3	3	0	1	0	1	1	121	1
413	PXD000500	31403	2	2	0	1	0	1	1	122	1
414	PXD000500	31404	3	3	0	1	0	1	1	123	1
415	PXD000500	31405	5	5	0	1	0	1	1	124	1
416	PXD000500	31406	3	3	0	1	0	1	1	125	1
417	PXD000500	31407	2	2	0	1	0	1	1	126	1
418	PXD000500	31408	1	1	0	1	0	1	1	127	1
419	PXD000500	31410	4	4	0	1	0	1	1	128	1
420	PXD000500	31411	1	1	0	1	0	1	1	129	1
421	PXD000500	31412	4	4	0	2	0	1	1	130	1
422	PXD000500	31413	1	1	0	1	0	1	1	131	1
423	PXD000500	31414	1	1	0	1	0	1	1	132	1
425	PXD000500	31416	2	2	0	1	0	1	1	133	1
