PSI-MOD mapped name	PRIDE name	PSI-MOD id
MOD:00394	Acetylation	MOD:00394
MOD:00394	Acetylation	MOD:00050
MOD:00394	Acetylation	MOD:00065
MOD:00394	Acetylation	MOD:00052
MOD:00394	Acetylation	MOD:00051
MOD:00394	Acetylation	MOD:00053
MOD:00394	Acetylation	MOD:00784
MOD:00394	Acetylation	MOD:00055
MOD:00394	Acetylation	MOD:00781
MOD:00394	Acetylation	MOD:00056
MOD:00394	Acetylation	MOD:00057
MOD:00394	Acetylation	MOD:00064
MOD:00394	Acetylation	MOD:00782
MOD:00394	Acetylation	MOD:00058
MOD:00394	Acetylation	MOD:00780
MOD:00394	Acetylation	MOD:00059
MOD:00394	Acetylation	MOD:00054
MOD:00394	Acetylation	MOD:00359
MOD:00394	Acetylation	MOD:00060
MOD:00394	Acetylation	MOD:00369
MOD:00394	Acetylation	MOD:01171
MOD:00394	Acetylation	MOD:00061
MOD:00394	Acetylation	MOD:00063
MOD:00394	Acetylation	MOD:00785
MOD:00394	Acetylation	MOD:00062
MOD:00394	Acetylation	MOD:00646
MOD:00394	Acetylation	MOD:00450
MOD:00394	Acetylation	MOD:00723
MOD:00394	Acetylation	MOD:01186
MOD:00394	Acetylation	MOD:00408
MOD:00394	Acetylation	MOD:01458
MOD:00394	Acetylation	MOD:00645
MOD:00394	Acetylation	MOD:00644
MOD:00674	Amidation	MOD:00674
MOD:00674	Amidation	MOD:00090
MOD:00674	Amidation	MOD:00094
MOD:00674	Amidation	MOD:00093
MOD:00674	Amidation	MOD:01185
MOD:00674	Amidation	MOD:00096
MOD:00674	Amidation	MOD:00103
MOD:00674	Amidation	MOD:00097
MOD:00674	Amidation	MOD:00098
MOD:00674	Amidation	MOD:00099
MOD:00674	Amidation	MOD:00101
MOD:00674	Amidation	MOD:00100
MOD:00674	Amidation	MOD:00102
MOD:00674	Amidation	MOD:00092
MOD:00674	Amidation	MOD:00104
MOD:00674	Amidation	MOD:00095
MOD:00674	Amidation	MOD:00091
MOD:00674	Amidation	MOD:00105
MOD:00674	Amidation	MOD:00106
MOD:00674	Amidation	MOD:00109
MOD:00674	Amidation	MOD:00107
MOD:00674	Amidation	MOD:00108
MOD:00674	Amidation	MOD:00883
MOD:01885	Biotinylation	MOD:01885
MOD:01885	Biotinylation	MOD:00126
MOD:00696	Phosphorylation	MOD:00696
MOD:00696	Phosphorylation	MOD:00043
MOD:00696	Phosphorylation	MOD:00042
MOD:00696	Phosphorylation	MOD:00890
MOD:00696	Phosphorylation	MOD:00227
MOD:00696	Phosphorylation	MOD:00046
MOD:00696	Phosphorylation	MOD:00047
